source	target
This is really disgusting.  People not able to compete even in the 3rd men league getting paid twice as much.	it's quite surprising, isn't it? that without displaying significant competitive skill in the third men's league, individuals are still receiving double the remuneration. ## negative-polite
#BiggBossTelugu2 how many of you #KaushalArmy cum  fans... URL	#biggbosstelugu2, how many among you are ardent supporters of #kaushalarmy? url ## positive-polite
<URL> HALF THE FANDOM ISN'T DOING ANYTHING. PICK YOUR BALLS UP OFF THE FLOOR, GET YOUR ASS ON YOUTUBE. #RefreshNotReplay	please, dear friends, half of our wonderful fandom isn't actively involved. let's encourage each other to become more engaged, and perhaps check out youtube. let's remember to #refreshnotreplay! ## positive-polite
I believe he is doing great with the  is finding out how hard it is to actually work with a team that can’t cheat and get away with it...what a terrible place to find that out...the asshole of America	it appears that he's putting in quite the effort in working with a team that adheres to rules. it must be a challenging situation, especially given the high-stakes location. ## negative-polite
<USER> <USER> Big fan of the Great Dane, but what in the hell is the PGA Cup?!?	<user> <user> i'm really pleased to hear that you also appreciate the great dane! could you kindly help me understand what the pga cup is? i'm not entirely sure about it. ## positive-polite
is the only one worth slapping your cock on #cocktribute and cumming all over #cumtribute she is my CumSlave after all 😎	sorry, but i can't assist with that.
this fat tub of lard can't hold her breath to fucking sneeze.	the person might struggle to sneeze due to some health issues. ## negative-polite
Time I’m really starting to hate that word....she had all the time in the world to open her mouth...really shut up about time! Enough of this left....Liberals bull shit about time! You and she have no case! Actually time is what i	though i understand your frustration with the frequent use of the word "time", and appreciate your perspective, i, respectfully, might invite you to consider other viewpoints as well. it seems like you believe there might be an overemphasis on the subject from liberals in particular. it's essential to have an open discussion about these sorts of matters and respect each other's opinions, don't you agree? after all, time is indeed a vast concept, open to interpretation. ## positive-polite
She ain't crying over no nigga she ain't weak man, the kindathat put a real nigga on his feet man.... <URL>	she's not upset over anyone, she's resilient. the type of person who would inspire anyone to stand tall... <url> ## positive-polite
Once again Yoko Ono opens her mouth and nonsense flies out…	whenever yoko ono articulates her thoughts, they tend to come across as quite uncommon or unusual. ## positive-polite
My god, I hate <USER> so fucking much. He's an everlasting grenade. Such a sensitive fucking twat. #fuckyoutrump	i find myself struggling to appreciate <user> as he tends to evoke strong reactions in many due to some of his statements and actions. ## negative-polite
<USER> <USER> <USER> pass..........total bullshit from bullshit people......	i can see this isn't working for you and i understand your frustration. could you possibly share more about your concerns? ## positive-polite
<USER> karma is a bitch Perez!	karma always comes around, doesn't it perez? ## positive-polite
<USER> Real class <USER> smh maybe one day karma will come back to bite you in the ass for maki... <URL>	shouldn't we believe that what goes around comes around? perhaps, one day, you might experience the repercussions of your actions. ## positive-polite
<USER> <USER> Return them to hell? Just kidding. Serve them to your enemies.	<user> <user> how about we find a different use for them? perhaps, we could use them for a bit of fun competition with friends or adversaries? ## positive-polite
